20221010	14:39:06	748fcf30-696e-43d0-884e-228fa697e5fd	/new-page.html	GET
20221010	14:39:06	bf33af1f-ab2a-4b2d-8b01-ddbebba61d83	/css/style.css	GET
20221010	14:39:06	25560aa5-bda3-43cd-bfd1-1c24bbb4fc43	/img/img1.jpg	GET
20221010	14:39:06	d0842bd3-14e6-4963-a923-c36d06694efc	/favicon.ico	GET
20221010	14:39:11	690a6c8b-a623-42b0-aef6-f0d7f9b3378b	/new-page.html	GET
20221010	14:39:11	d25bb0b8-5c89-4210-bd26-cbf80de1c2f6	/css/style.css	GET
20221010	14:39:11	64dab55a-17f5-41e1-896c-7effabccd047	/img/img1.jpg	GET
20221013	16:29:58	b0136434-658a-464c-b968-01f2c2f2f299	GET	undefined	/index
20221013	16:29:58	5fd58ec3-ec82-454e-966e-791b240b0ce0	GET	undefined	/css/style.css
20221013	16:32:16	424cca89-7dc4-474f-b58f-840a2af80ccc	GET	undefined	/index
20221013	16:32:16	402e99fc-814b-4457-a412-040374c71e58	GET	undefined	/css/style.css
20221013	16:32:21	d7b074ed-7cdd-47d1-85ed-792ce340f6fa	GET	undefined	/index
20221013	16:32:21	0c9d178c-5d11-4900-8c18-df00023cd8d4	GET	undefined	/css/style.css
20221013	16:32:26	ac0e2c35-b3a9-4060-abd6-efdbfa564e53	GET	undefined	/index
20221013	16:32:26	d9245746-6a7a-43e0-a79f-2614f0729a38	GET	undefined	/css/style.css
20221013	16:35:39	42717952-e2c9-4817-800f-27f4932ad779	GET	null	/
20221013	16:37:44	b7f2f62b-c612-4c55-b060-74f88f8a5107	GET	null	/
20221013	16:44:03	0100d506-127e-4fe3-8e1c-41929c5c297a	GET	null	/
20221013	16:44:06	e9476176-e0e2-442b-85c0-dab45311c0b6	GET	null	/
20221013	16:44:14	bccf3f2c-2baa-4a18-8bbe-bf70182a4833	GET	null	/
20221013	16:51:07	a5cb0a89-7075-41cb-a954-edf2ae59edd1	GET	undefined	/index
20221013	16:52:00	94f3ffff-d003-4eac-a57b-ff49e0c671f4	GET	undefined	/index
20221013	16:52:00	23e2a951-a6ee-470d-84f6-ab0ec5831393	GET	undefined	/css/style.css
20221013	16:56:56	0650818a-c111-4515-942e-ec4c7aa9d322	GET	undefined	/index
20221013	16:56:56	f9bca74b-7d4c-4f3c-8466-a163383e27ed	GET	undefined	/css/style.css
20221013	16:57:25	6bebcea7-395d-4888-9f15-6a8259c6a7fa	GET	undefined	/index
20221013	16:57:38	1e101027-1683-4abe-b8b8-5f89d96c6df5	GET	undefined	/index
20221013	16:57:48	f827e57d-ae83-40c4-9cf8-2d7288fb9020	GET	undefined	/index
20221013	16:57:48	a3e34e12-9add-4aad-ae8e-e95ffe284d65	GET	undefined	/css/style.css
20221013	17:02:14	cef829f5-7384-40f2-9b5b-9eb3ba0eb988	GET	undefined	/dave
20221013	17:02:14	d7d51f12-87af-4a76-a731-fa16625bbda3	GET	undefined	/css/style.css
20221014	14:54:38	3079a1c5-7ed4-4308-973c-b065b3984f23	GET	undefined	/
20221014	14:54:38	da007714-a6d1-477a-9471-43bfa59c4ad8	GET	undefined	/css/style.css
20221014	14:54:42	dc683d5d-5bc5-4f16-b6ec-afc4e23ef149	GET	undefined	/
20221014	14:54:42	3bb019f9-f269-4c85-bc8f-ade10d040008	GET	undefined	/css/style.css
20221014	14:54:44	bd8842ba-5145-4057-af3d-a72c2e8e4512	GET	undefined	/subdir
20221014	14:58:36	65b6cf23-4a4e-4ca2-bcbf-5c84731549ae	GET	undefined	/subdir/test
20221014	14:58:42	6253ca88-3979-4f00-b546-1dba2cb9b11c	GET	undefined	/subdir/test.html
20221014	15:38:19	889f573d-49c5-4f64-ad43-885291c8d247	GET	undefined	/subdir/test.html
20221014	15:38:24	f3ef45f4-1805-4ecf-bc1b-add63233af00	GET	undefined	/subdir/test.html
20221014	15:38:24	9d69f6d5-1d28-45cb-8bd2-9130642abc34	GET	undefined	/subdir/test
20221014	15:38:24	340de8a9-9f28-46bd-8f00-60006fe07415	GET	undefined	/subdir/test.html
20221014	15:38:26	4ef34afb-15b6-4ebb-bd8a-4037aa1d93ac	GET	undefined	/subdir/dave
20221014	15:38:26	7baa6cd8-7d5d-4484-a7b4-8c34ffb75152	GET	undefined	/subdir/css/style.css
20221014	15:42:45	cc565292-6fa3-4ad6-93c7-267bf28c7010	GET	undefined	/subdir/dave
20221014	15:42:45	b8b691f1-c1f6-4c10-97cf-67e9e204f3cb	GET	undefined	/subdir/css/style.css
20221014	15:42:49	b8945de7-a195-47eb-b9c2-2886d1c50619	GET	undefined	/
20221014	15:42:49	e843d7d0-0cd4-4f94-9af6-59cfe8a5d98a	GET	undefined	/css/style.css
20221014	15:42:52	5e7403ce-8d7d-4086-940b-40585ce067c1	GET	undefined	/
20221014	15:42:52	3b1f03e8-11ee-4ea4-9d5d-111fc620b3c0	GET	undefined	/css/style.css
20221014	15:42:55	32a28d9f-011b-458b-ab39-78b111730f9d	GET	undefined	/new-page
20221014	15:42:55	22d71821-37c2-4f95-80a6-d9f5cc55943f	GET	undefined	/img/img1.jpg
20221014	15:42:55	96e4ab02-dc90-4b7c-b410-a2235caf5921	GET	undefined	/css/style.css
20221014	15:43:04	cf3f8d76-3dff-4eea-a234-b03f72927172	GET	undefined	/old-page
20221014	15:43:04	cb49f274-2196-4a7a-ac01-929d1f172753	GET	undefined	/new-page.html
20221014	15:43:04	5a0f7389-a179-4390-9cd2-c11ef31f5a3d	GET	undefined	/img/img1.jpg
20221014	15:43:04	a1f24e6e-5a95-464d-85c1-f672ace16f8e	GET	undefined	/css/style.css
20221017	15:05:13	d8d3126c-85ed-4cd9-a709-94504991aa1a	GET	undefined	/hello
20221017	15:05:13	626182f2-7daf-462b-9b67-91cc55054d1b	GET	undefined	/css/style.css
20221017	15:05:14	19ef15e9-5f5b-4a7f-825a-ebfa66bfe033	GET	undefined	/favicon.ico
20221017	15:05:17	cfa023a3-fd4e-49a8-8574-980a948e2370	GET	undefined	/
20221017	15:05:17	e6e52bf2-c595-4d33-9746-d546e908a7c2	GET	undefined	/css/style.css
20221017	15:14:53	a8d27cc6-16c8-4053-9f50-504a4b11c824	GET	undefined	/
20221017	15:14:54	bf6dd564-9bd6-458a-ad59-e772ac5d8775	GET	undefined	/css/style.css
20221017	15:14:56	458b418f-dcbf-447d-b711-029262cb66f4	GET	undefined	/
20221017	15:14:56	baa03e22-e494-4450-9dfb-3adcc29f22e2	GET	undefined	/css/style.css
20221017	15:14:57	ac1aa1ae-918c-488c-bca1-26a7bccac8f5	GET	undefined	/
20221017	15:14:58	11711751-8a2a-4a96-afab-3ed00b0eb0fa	GET	undefined	/css/style.css
20221017	15:15:03	9265a80a-09f6-41b6-abe2-58d007f8443a	GET	undefined	/index
20221017	15:15:03	8c3724a4-d59e-4981-a082-e5daadadf9cf	GET	undefined	/css/style.css
20221017	15:20:04	683c5256-49b4-483e-96bb-f7c227a6d0a3	GET	undefined	/employees
20221017	15:22:02	d8378ce9-b67f-46a5-8ab7-bf617932f1b0	GET	undefined	/employees/1
20221017	15:22:06	00889a30-76f7-4294-977b-de32d12f92ef	GET	undefined	/employees/2
20221017	16:15:04	68686950-5a1b-49e4-a52f-cafc8c4f1ec3	GET	undefined	/index
20221017	16:15:04	269d69b9-f5ab-4166-806f-a664aba9735b	GET	undefined	/css/style.css
20221017	16:15:32	566345b4-30f9-4289-b267-9bc707a793f8	GET	undefined	/
20221017	16:15:32	9f3a0b16-16e1-424f-82c3-81476a1e0f80	GET	undefined	/css/style.css
20221017	16:15:37	17e60236-6bc2-47a4-9cc6-ad339c925fde	GET	undefined	/register
20221017	16:15:37	2ce00a8f-9fe7-4edb-a5a7-125c94da6e68	GET	undefined	/css/style.css
20221017	16:18:16	bfdc5702-988f-4b2c-88cb-cbe31e543599	GET	undefined	/register
20221017	16:21:04	6a540ada-25f9-4da7-8dbc-c782a1a50478	GET	undefined	/register
20221017	16:21:30	ecf98486-59e1-4266-b159-2df19d302d99	GET	undefined	/register
20221017	16:21:50	78cb3e8b-151c-4aca-8f39-1590ede48aca	GET	undefined	/employees
20221017	16:21:56	c83b5441-4359-442d-97c9-9511688eb531	GET	undefined	/register
20221017	16:22:55	cf1d8586-199f-4e5f-9e0f-f86f4e2b133a	GET	undefined	/register
